iter	Passed	Remaining
0	18	18515
1	34	17347
2	50	16835
3	65	16378
4	83	16709
5	99	16455
6	115	16336
7	134	16621
8	147	16256
9	165	16341
10	178	16061
11	195	16062
12	209	15929
13	223	15734
14	237	15580
15	251	15470
16	265	15361
17	282	15435
18	297	15367
19	311	15245
20	327	15279
21	340	15158
22	355	15120
23	369	15028
24	385	15033
25	399	14968
26	413	14902
27	428	14885
28	444	14871
29	458	14819
30	477	14921
31	490	14844
32	505	14810
33	518	14740
34	532	14689
35	546	14631
36	559	14574
37	574	14546
38	588	14496
39	602	14454
40	616	14416
41	634	14462
42	647	14418
43	662	14391
44	677	14375
45	691	14341
46	706	14318
47	719	14264
48	732	14223
49	746	14178
50	760	14143
51	773	14102
52	786	14061
53	803	14068
54	817	14047
55	831	14010
56	844	13977
57	858	13947
58	873	13924
59	889	13936
60	904	13928
61	919	13907
62	934	13904
63	948	13873
64	962	13850
65	976	13813
66	990	13794
67	1006	13798
68	1020	13775
69	1035	13755
70	1049	13726
71	1066	13746
72	1080	13726
73	1098	13743
74	1112	13720
75	1127	13703
76	1143	13704
77	1159	13708
78	1174	13696
79	1188	13670
80	1203	13650
81	1216	13622
82	1230	13598
83	1244	13566
84	1258	13547
85	1276	13567
86	1290	13540
87	1305	13528
88	1320	13512
89	1334	13496
90	1350	13488
91	1367	13498
92	1382	13480
93	1399	13486
94	1415	13480
95	1432	13487
96	1447	13476
97	1463	13465
98	1477	13444
99	1491	13419
100	1504	13394
101	1519	13375
102	1536	13377
103	1554	13395
104	1569	13377
105	1587	13385
106	1601	13361
107	1614	13332
108	1627	13302
109	1641	13283
110	1654	13254
111	1670	13243
112	1684	13221
113	1698	13198
114	1712	13175
115	1725	13152
116	1743	13154
117	1759	13150
118	1775	13141
119	1790	13128
120	1809	13147
121	1830	13171
122	1846	13163
123	1860	13142
124	1875	13126
125	1891	13119
126	1906	13103
127	1922	13093
128	1938	13085
129	1953	13070
130	1970	13072
131	1987	13071
132	2003	13061
133	2019	13054
134	2035	13044
135	2050	13029
136	2069	13035
137	2085	13028
138	2100	13013
139	2117	13009
140	2134	13002
141	2148	12981
142	2165	12980
143	2179	12956
144	2193	12932
145	2207	12910
146	2222	12894
147	2237	12878
148	2251	12860
149	2265	12840
150	2279	12818
151	2295	12807
152	2310	12793
153	2325	12773
154	2339	12751
155	2353	12731
156	2369	12723
157	2385	12712
158	2400	12698
159	2415	12679
160	2429	12662
161	2444	12646
162	2460	12636
